Model,Accuracy,Precision,Recall,F1
Naive Bayes,0.9954545454545455,0.9958677685950413,0.9954545454545454,0.9954431533378901
Decision Tree,0.9636363636363636,0.9717837726403864,0.9636363636363637,0.9638960282078773
KNN,0.9795454545454545,0.9803555030827759,0.9795454545454544,0.9792832328133997
SVM,0.9840909090909091,0.9856099105110961,0.9840909090909092,0.9840381050638686
Random Forest,0.9954545454545455,0.9956709956709957,0.9954545454545454,0.9954517027687758
XGBoost,0.9886363636363636,0.9893742621015349,0.9886363636363636,0.9884930494686592
Voting Ensemble,0.9954545454545455,0.9956709956709957,0.9954545454545454,0.9954517027687758
